주소,위도,경도
경기 수원시 권선구 상탑로39번길 12-2,37.257650,126.975220
서울특별시 구로구 새말로 97,37.496790,126.886090
경기도 의정부시 가능로 105,37.737260,127.033210
서울특별시 광진구 광나루로56길 85,37.534960,127.085940
경기도 파주시 경의로 1204,37.762440,126.781510
서울특별시 강동구 양재대로 1377,37.526410,127.122700
서울특별시 강동구 천호대로 1006,37.535090,127.127670
인천광역시 서구 이음대로 392,37.456010,126.702730
경기도 의정부시 동일로 468,37.738930,127.036690
서울특별시 강서구 마곡중앙로 76,37.547250,126.853820
경기도 구리시 경춘로227번길 6-26,37.596310,127.126530
경기도 수원시 권선구 금곡로 46,37.257210,126.973690
경기도 의정부시 시민로 지하100,37.739490,127.033410
경기도 화성시 동탄중심상가2길 37,37.204100,126.826570
경기의정부시가능로162,37.740040,127.031700
"서울 광진구 광나루로56길 85,",37.540050,127.081930
경기도 화성시 동탄솔빛로 53,37.197220,126.835790
경기도 화성시 동탄대로 198,37.197340,126.831910
경기도 광주시 중앙로 105,37.406090,127.252160
경기도 남양주시 경춘로1256번길 20,37.634570,127.217180
경기도 의정부시 녹양로 65,37.742840,127.032100
서울특별시 종로구 종로 347,37.570400,126.975590
경기도 의정부시 오목로 196,37.738150,127.037590
경기도 성남시 분당구 성남대로925번길 11,37.386170,127.120990
서울특별시 금천구 가산디지털1로 24,37.457300,126.893200
서울특별시 성동구 행당로 102,37.560550,127.032180
서울특별시 용산구 한강대로 69,37.533610,126.994170
서울특별시 노원구 동일로 1541,37.649570,127.054220
경기도 수원시 팔달구 매산로 1,37.287040,127.017270
경기도 시흥시 은행로167번길 7,37.384990,126.805360
경기도 안산시 단원구 광덕4로 220,37.318090,126.813160
서울특별시 도봉구 노해로 341,37.667810,127.045470
경기도 파주시 청암로17번길 41,37.757970,126.785030
인천광역시 연수구 송도문화로28번길 27,37.456810,126.707890
경기도 성남시 분당구 판교역로241번길 22,37.382950,127.121520
서울특별시 송파구 마천로 271,37.512710,127.104150
경기도 부천시 길주로 74,37.499280,126.765460
서울특별시 금천구 가산디지털1로 168,37.452520,126.898570
서울특별시 강서구 화곡로 282,37.547000,126.848030
서울특별시 강남구 삼성로 221,37.515180,127.043860
경기도 안양시 동안구 경수대로544번길 9,37.387070,126.957630
서울특별시 영등포구 선유로49길 23,37.527960,126.893740
경기도 성남시 중원구 산성대로 지하 204-5,37.439470,127.139340
경기 수원시 장안구 장안로7번길 32,37.300650,127.009010
인천광역시 계양구 도두리로 74,37.460880,126.707850
경기도 수원시 장안구 파장로 82,37.302140,127.011000
경기도 평택시 비전5로 10,36.990100,127.086980
경기도 화성시 효행구 봉담읍 와우로73번길 6,37.200350,126.834160
경기도 수원시 팔달구 화양로 34,37.279500,127.019820
인천광역시 부평구 부평대로 지하30,37.457110,126.707340
인천광역시 남동구 논현역로 22,37.458310,126.702470
경기도 의정부시 문화로 38,37.739550,127.031430
경기도 파주시 청석로 260,37.763240,126.780840
경기도 수원시 장안구 만석로19번길 41-9,37.299470,127.005830
경기도 성남시 중원구 광명로 38,37.435820,127.133200
서울특별시 금천구 디지털로 212,37.458070,126.895050
경기도 하남시 신평로 71,37.538250,127.215060
인천광역시 연수구 랜드마크로 20,37.459320,126.703500
서울특별시 성동구 왕십리로 309,37.568080,127.034460
경기도 여주시 세종로 29,37.294870,127.639820
경기도 화성시 동탄대로 489,37.202240,126.831420
서울특별시 중랑구 망우로 353,37.609590,127.090330
서울특별시 금천구 가산디지털1로 142,37.455930,126.895930
경기도 안산시 단원구 광덕4로 246,37.316550,126.807740
경기도 수원시 영통구 덕영대로 1478,37.257360,127.050120
서울특별시 강남구 밤고개로1길 10,37.520810,127.042510
경기도 시흥시 수인로3409번길 40,37.375300,126.805200
경기도 고양시 덕양구 꽃마을로 66,37.638610,126.828850
경기도 남양주시 다산중앙로123번길 22-8,37.637940,127.213250
경기도 포천시 소흘읍 봉솔로5길 27,37.893070,127.201820
서울특별시 강북구 월계로 53,37.641620,127.025710
경기도 안양시 동안구 시민대로 187,37.394740,126.960780
경기도 성남시 분당구 성남대로 165,37.382930,127.114400
서울특별시 양천구 신월로 167,37.514220,126.864050
경기도 시흥시 진말로9번길 18-1,37.380230,126.807610
경기도 고양시 덕양구 삼송로 12,37.636620,126.828560
경기도 구리시 이문안로 7,37.590620,127.125330
서울특별시 서대문구 증가로 132,37.583270,126.935710
경기도 파주시 가람로 65,37.755980,126.780180
서울특별시 강동구 양재대로 1484-1,37.529420,127.126540
경기도 용인시 기흥구 동백죽전대로 444,37.279390,127.116520
인천광역시 서구 고산후로95번길 28,37.455540,126.706830
경기도 양주시 옥정로 208,37.787930,127.049530
"강원 춘천시 퇴계로105번길 5,",37.884180,127.729080
경기도 안양시 만안구 박달로 499,37.387780,126.926050
강원특별자치도 원주시 우산로 67,37.346280,127.916400
인천광역시 미추홀구 용정공원로 33,37.458070,126.700220
경기도 안성시 중앙로 252,37.010880,127.277160
인천광역시 서구 청라커낼로288번길 10,37.460780,126.708920
서울특별시 노원구 노해로 507,37.655850,127.057150
경기도 부천시 양지로 229,37.501910,126.761750
경기도 수원시 권선구 금곡로102번길 15,37.260110,126.974640
서울특별시 양천구 오목로 325,37.516260,126.870670
경기도 화성시 동탄순환대로18길 16,37.195020,126.829780
경기도 용인시 수지구 대지로 36,37.317120,127.095980
