P코드순번,P코드,거래처명,시도명,시군구명,읍면동명,주소,대리점코드,대리점명,중복여부,점유비,P코드합계,대리점실적,,신규,MNP,기변,,MNO,MVNO,(MVNO비중),,번들,동판
PE71961,PE7196,스타텔레콤,경기,수원시 권선구,탑동,경기 수원시 권선구 상탑로39번길 12-2,D13124,UNI대리점,중복점,50.13%,375,188,,2,20,166,,19,1,5.00%,,0,5
PE71962,PE7196,스타텔레콤,경기,수원시 권선구,탑동,경기 수원시 권선구 상탑로39번길 12-2,D13469,코넥,중복점,29.87%,375,112,,0,6,106,,5,1,16.67%,,0,0
PE71963,PE7196,스타텔레콤,경기,수원시 권선구,탑동,경기 수원시 권선구 상탑로39번길 12-2,D13827,지은대리점,중복점,20.00%,375,75,,0,11,64,,10,1,9.09%,,0,8
PE44001,PE4400,이채정보통신,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13542,삼보대리점,수도권_전속,100.00%,363,363,,0,201,162,,55,146,72.64%,,0,1
PE40851,PE4085,알뜰폰스토어 가능점,경기,의정부시,가능동,경기도 의정부시 가능로 105,D13546,ACT대리점,중복점,80.17%,348,279,,0,279,0,,26,253,90.68%,,0,0
PE40852,PE4085,알뜰폰스토어 가능점,경기,의정부시,가능동,경기도 의정부시 가능로 105,D13357,가능대리점,중복점,18.68%,348,65,,1,21,43,,19,2,9.52%,,0,3
PE40853,PE4085,알뜰폰스토어 가능점,경기,의정부시,가능동,경기도 의정부시 가능로 105,D13858,새서울대리점,중복점,0.57%,348,2,,0,0,2,,0,0,0.00%,,0,0
PE40854,PE4085,알뜰폰스토어 가능점,경기,의정부시,가능동,경기도 의정부시 가능로 105,D15146,PS&M,중복점,0.57%,348,2,,0,0,2,,0,0,0.00%,,0,0
PE70851,PE7085,일타폰 파주성지,경기,파주시,와동동,경기도 파주시 경의로 1204,D13952,참스타대리점,수도권_전속,100.00%,290,290,,0,118,172,,52,66,55.93%,,0,9
PE26471,PE2647,하나통신,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13827,지은대리점,중복점,71.58%,285,204,,4,54,146,,31,23,42.59%,,0,11
PE26472,PE2647,하나통신,서울,구로구,구로동,서울특별시 구로구 새말로 97,D13858,새서울대리점,중복점,28.42%,285,81,,0,21,60,,17,4,19.05%,,0,6
PC39581,PC3958,주식회사 이가정보통신,서울,광진구,구의동,서울특별시 광진구 광나루로56길 85,D13546,ACT대리점,수도권_전속,100.00%,283,283,,3,36,244,,24,12,33.33%,,0,11
PE32431,PE3243,휴대폰성지,서울,강동구,성내동,서울특별시 강동구 양재대로 1377,D15176,ACE대리점,중복점,82.44%,262,216,,0,133,83,,75,58,43.61%,,0,18
